Time;Px;Py;Pz;Vx;Vy;Vz;V;Ax;Ay;Az;A
0,001643452;-0,9350024;2,540714;-2,181364;0,9998357;18,67929;499,5681;499,918241211894;-0,09998357;-11,67793;-49,95681;51,303676934045
0,001679809;-0,9335646;2,541394;-2,163255;0,999832;18,67887;499,5663;499,916395539707;-0,09998321;-11,67789;-49,95663;51,3034927979867
0,001717003;-0,9320937;2,542088;-2,14473;0,9998283;18,67843;499,5645;499,914519086388;-0,09998284;-11,67784;-49,95645;51,3033007986399
0,001753652;-0,9306445;2,542773;-2,126476;0,9998246;18,67801;499,5626;499,912673272068;-0,09998246;-11,6778;-49,95626;51,3031127309229
0,001785784;-0,9293737;2,543373;-2,110472;0,9998214;18,67763;499,561;499,911073495241;-0,09998214;-11,67776;-49,9561;51,3029482530859
0,001829766;-0,9276345;2,544194;-2,088566;0,999817;18,67712;499,5588;499,90885851872;-0,0999817;-11,67771;-49,95588;51,3027210860196
0,001864791;-0,9262494;2,544848;-2,071121;0,9998136;18,67671;499,5571;499,907074481949;-0,09998135;-11,67767;-49,95571;51,3025408816056
0,001905195;-0,9246516;2,545603;-2,050997;0,9998095;18,67624;499,5551;499,905044123014;-0,09998095;-11,67762;-49,95551;51,3023333727606
0,001948242;-0,9229493;2,546407;-2,029557;0,9998052;18,67573;499,5529;499,902890567707;-0,09998052;-11,67757;-49,95529;51,3021138518895
0,001984578;-0,9215124;2,547086;-2,011459;0,9998016;18,67531;499,5511;499,901044968906;-0,09998016;-11,67753;-49,95511;51,3019260012803
0,002019045;-0,9201494;2,547729;-1,994292;0,9997981;18,67491;499,5494;499,899322139362;-0,09997981;-11,67749;-49,95494;51,3017495114172
0,00205323;-0,9187976;2,548368;-1,977266;0,9997947;18,67451;499,5477;499,897599381418;-0,09997947;-11,67745;-49,95477;51,3015771702772
0,002087432;-0,9174451;2,549006;-1,960232;0,9997913;18,67411;499,546;499,895876694833;-0,09997913;-11,67741;-49,9546;51,301400897522
0,002123076;-0,9160355;2,549672;-1,942479;0,9997877;18,67369;499,5442;499,894092374551;-0,09997877;-11,67737;-49,95442;51,3012167614637
0,002156062;-0,9147311;2,550288;-1,92605;0,9997844;18,67331;499,5425;499,892431179955;-0,09997844;-11,67733;-49,95425;51,3010483519679
0,002190377;-0,9133742;2,550929;-1,90896;0,999781;18,67291;499,5408;499,890677926697;-0,0999781;-11,67729;-49,95408;51,3008720791982
0,002224702;-0,9120169;2,55157;-1,891864;0,9997776;18,6725;499,5391;499,888955098518;-0,09997775;-11,67725;-49,95391;51,3006958064285
0,002256704;-0,9107513;2,552167;-1,875925;0,9997743;18,67213;499,5375;499,887355395839;-0,09997743;-11,67721;-49,95375;51,3005311115127
0,0022898;-0,9094427;2,552785;-1,859443;0,9997711;18,67175;499,5359;499,885694130847;-0,09997711;-11,67717;-49,95359;51,3003627020314
0,002333048;-0,9077324;2,553593;-1,837903;0,9997667;18,67124;499,5337;499,883510011151;-0,09997667;-11,67712;-49,95337;51,3001394666094
0,002444555;-0,9033231;2,555675;-1,782368;0,9997556;18,66994;499,5281;499,877880523345;-0,09997556;-11,67699;-49,95281;51,2995674001988
0,002476518;-0,9020592;2,556271;-1,766449;0,9997524;18,66957;499,5265;499,876280822132;-0,09997524;-11,67696;-49,95265;51,2994029223618
0,002517756;-0,9004285;2,557041;-1,745911;0,9997482;18,66908;499,5245;499,874219544068;-0,09997483;-11,67691;-49,95245;51,2991914818726
0,002554305;-0,8989833;2,557724;-1,727708;0,9997446;18,66866;499,5226;499,872373877996;-0,09997446;-11,67687;-49,95226;51,29900341417
0,002586786;-0,8976989;2,55833;-1,711532;0,9997414;18,66828;499,521;499,870743396179;-0,09997414;-11,67683;-49,9521;51,2988387192543
0,002618012;-0,8964642;2,558913;-1,69598;0,9997382;18,66791;499,5194;499,869143980761;-0,09997383;-11,67679;-49,95195;51,2986781730615
0,002650758;-0,8951693;2,559524;-1,679672;0,9997349;18,66753;499,5178;499,867513356763;-0,0999735;-11,67675;-49,95178;51,2985097635803
0,002689837;-0,8936241;2,560254;-1,660209;0,9997311;18,66707;499,5159;499,865544566569;-0,0999731;-11,67671;-49,95159;51,2983099009305
0,002725589;-0,8922104;2,560921;-1,642404;0,9997275;18,66666;499,5141;499,863729682958;-0,09997275;-11,67667;-49,95141;51,2981257648722
